round,mlogloss
0,1.3368046895877734
1,1.0703340865470268
2,0.88511619696746
3,0.7543313809343286
4,0.6527358776814228
5,0.5740142617676709
6,0.510413516212154
7,0.4574580087855056
8,0.41418821988879023
9,0.3800722497540551
10,0.35189776203116857
11,0.32857439526029536
12,0.3092522073436428
13,0.29572884375984604
14,0.28020398157673915
15,0.2662815385170885
16,0.2542805658603037
17,0.2427926620317472
18,0.2324185526451549
19,0.22235200669918512
20,0.2123642017108363
21,0.20222484511700836
22,0.1986135373747832
23,0.19287577002133066
24,0.1841968188968462
25,0.18099487210447723
26,0.1780235585127328
27,0.17312858553250898
28,0.16697194714199853
29,0.16417117065724893
